Brent Goose,Branta bernicla
Red-breasted Goose,Branta ruficollis
Canada Goose,Branta canadensis
Barnacle Goose,Branta leucopsis
Cackling Goose,Branta hutchinsii
Ross's Goose,Anser rossii
Snow Goose,Anser caerulescens
Greylag Goose,Anser anser
Taiga Bean Goose,Anser fabalis
Pink-footed Goose,Anser brachyrhynchus
Tundra Bean Goose,Anser serrirostris
White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Mute Swan,Cygnus olor
Bewick's Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Egyptian Goose,Alopochen aegyptiaca
Shelduck,Tadorna tadorna
Ruddy Shelduck,Tadorna ferruginea
Mandarin Duck,Aix galericulata
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Blue-winged Teal,Spatula discors
Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated Duck,Mareca falcata
Wigeon,Mareca penelope
American Wigeon,Mareca americana
Mallard,Anas platyrhynchos
Black Duck,Anas rubripes
Pintail,Anas acuta
Teal,Anas crecca
Green-winged Teal,Anas carolinensis
Red-crested Pochard,Netta rufina
Canvasback,Aythya valisineria
Redhead,Aythya americana
Pochard,Aythya ferina
Ferruginous Duck,Aythya nyroca
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Steller's Eider,Polysticta stelleri
King Eider,Somateria spectabilis
Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Surf Scoter,Melanitta perspicillata
Velvet Scoter,Melanitta fusca
White-winged Scoter,Melanitta deglandi
Stejneger's Scoter,Melanitta stejnegeri
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Goosander,Mergus merganser
Red-breasted Merganser,Mergus serrator
Ruddy Duck,Oxyura jamaicensis
Red Grouse,Lagopus scotica
Ptarmigan,Lagopus muta
Capercaillie,Tetrao urogallus
Black Grouse,Lyrurus tetrix
Grey Partridge,Perdix perdix
Golden Pheasant,Chrysolophus pictus
Lady Amherst's Pheasant,Chrysolophus amherstiae
Pheasant,Phasianus colchicus
Quail,Coturnix coturnix
Red-legged Partridge,Alectoris rufa
Common Nighthawk,Chordeiles minor
Red-necked Nightjar,Caprimulgus ruficollis
Nightjar,Caprimulgus europaeus
Egyptian Nightjar,Caprimulgus aegyptius
White-throated Needletail,Hirundapus caudacutus
Chimney Swift,Chaetura pelagica
Alpine Swift,Tachymarptis melba
Swift,Apus apus
Pallid Swift,Apus pallidus
Pacific Swift,Apus pacificus
Little Swift,Apus affinis
White-rumped Swift,Apus caffer
Great Bustard,Otis tarda
Asian Houbara,Chlamydotis macqueenii
Little Bustard,Tetrax tetrax
Great Spotted Cuckoo,Clamator glandarius
Yellow-billed Cuckoo,Coccyzus americanus
Black-billed Cuckoo,Coccyzus erythropthalmus
Cuckoo,Cuculus canorus
Pallas's Sandgrouse,Syrrhaptes paradoxus
Rock Dove,Columba livia
Stock Dove,Columba oenas
Woodpigeon,Columba palumbus
Turtle Dove,Streptopelia turtur
Oriental Turtle Dove,Streptopelia orientalis
Collared Dove,Streptopelia decaocto
Mourning Dove,Zenaida macroura
Water Rail,Rallus aquaticus
Corncrake,Crex crex
Sora,Porzana carolina
Spotted Crake,Porzana porzana
Moorhen,Gallinula chloropus
Coot,Fulica atra
American Coot,Fulica americana
Allen's Gallinule,Porphyrio alleni
American Purple Gallinule,Porphyrio martinica
Western Swamphen,Porphyrio porphyrio
Baillon's Crake,Zapornia pusilla
Little Crake,Zapornia parva
Sandhill Crane,Antigone canadensis
Common Crane,Grus grus
Little Grebe,Tachybaptus ruficollis
Pied-billed Grebe,Podilymbus podiceps
Red-necked Grebe,Podiceps grisegena
Great Crested Grebe,Podiceps cristatus
Slavonian Grebe,Podiceps auritus
Black-necked Grebe,Podiceps nigricollis
Stone-curlew,Burhinus oedicnemus
Oystercatcher,Haematopus ostralegus
Black-winged Stilt,Himantopus himantopus
Avocet,Recurvirostra avosetta
Grey Plover,Pluvialis squatarola
Golden Plover,Pluvialis apricaria
Pacific Golden Plover,Pluvialis fulva
American Golden Plover,Pluvialis dominica
Dotterel,Eudromias morinellus
Killdeer,Charadrius vociferus
Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Little Ringed Plover,Charadrius dubius
Lapwing,Vanellus vanellus
Grey-headed Lapwing,Vanellus cinereus
Sociable Lapwing,Vanellus gregarius
White-tailed Lapwing,Vanellus leucurus
Caspian Plover,Anarhynchus asiaticus
Tibetan Sand Plover,Anarhynchus atrifrons
Siberian Sand Plover,Anarhynchus mongolus
Greater Sand Plover,Anarhynchus leschenaultii
Kentish Plover,Anarhynchus alexandrinus
Upland Sandpiper,Bartramia longicauda
Whimbrel,Numenius phaeopus
Hudsonian Whimbrel,Numenius hudsonicus
Little Whimbrel,Numenius minutus
Eskimo Curlew,Numenius borealis
Curlew,Numenius arquata
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Long-billed Dowitcher,Limnodromus scolopaceus
Short-billed Dowitcher,Limnodromus griseus
Jack Snipe,Lymnocryptes minimus
Woodcock,Scolopax rusticola
Great Snipe,Gallinago media
Snipe,Gallinago gallinago
Wilson's Snipe,Gallinago delicata
Wilson's Phalarope,Phalaropus tricolor
Grey Phalarope,Phalaropus fulicarius
Red-necked Phalarope,Phalaropus lobatus
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Grey-tailed Tattler,Tringa brevipes
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Redshank,Tringa totanus
Lesser Yellowlegs,Tringa flavipes
Spotted Redshank,Tringa erythropus
Greenshank,Tringa nebularia
Greater Yellowlegs,Tringa melanoleuca
Turnstone,Arenaria interpres
Great Knot,Calidris tenuirostris
Knot,Calidris canutus
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Red-necked Stint,Calidris ruficollis
Buff-breasted Sandpiper,Calidris subruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Pectoral Sandpiper,Calidris melanotos
Western Sandpiper,Calidris mauri
Semipalmated Sandpiper,Calidris pusilla
Cream-coloured Courser,Cursorius cursor
Oriental Pratincole,Glareola maldivarum
Black-winged Pratincole,Glareola nordmanni
Collared Pratincole,Glareola pratincola
Aleutian Tern,Onychoprion aleuticus
Sooty Tern,Onychoprion fuscatus
Bridled Tern,Onychoprion anaethetus
Little Tern,Sternula albifrons
Least Tern,Sternula antillarum
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Whiskered Tern,Chlidonias hybrida
Black Tern,Chlidonias niger
White-winged Black Tern,Chlidonias leucopterus
Forster's Tern,Sterna forsteri
Arctic Tern,Sterna paradisaea
Common Tern,Sterna hirundo
Roseate Tern,Sterna dougallii
Sandwich Tern,Thalasseus sandvicensis
Cabot's Tern,Thalasseus acuflavidus
Elegant Tern,Thalasseus elegans
Lesser Crested Tern,Thalasseus bengalensis
Royal Tern,Thalasseus maximus
Little Gull,Hydrocoloeus minutus
Ross's Gull,Rhodostethia rosea
Kittiwake,Rissa tridactyla
Ivory Gull,Pagophila eburnea
Sabine's Gull,Xema sabini
Slender-billed Gull,Chroicocephalus genei
Bonaparte's Gull,Chroicocephalus philadelphia
Black-headed Gull,Chroicocephalus ridibundus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Great Black-headed Gull,Ichthyaetus ichthyaetus
Audouin's Gull,Ichthyaetus audouinii
Mediterranean Gull,Ichthyaetus melanocephalus
Common Gull,Larus canus
Ring-billed Gull,Larus delawarensis
Caspian Gull,Larus cachinnans
Kelp Gull,Larus dominicanus
Herring Gull,Larus argentatus
Yellow-legged Gull,Larus michahellis
Great Black-backed Gull,Larus marinus
Glaucous Gull,Larus hyperboreus
Lesser Black-backed Gull,Larus fuscus
American Herring Gull,Larus smithsonianus
Glaucous-winged Gull,Larus glaucescens
Slaty-backed Gull,Larus schistisagus
Iceland Gull,Larus glaucoides
Long-tailed Skua,Stercorarius longicaudus
Arctic Skua,Stercorarius parasiticus
Pomarine Skua,Stercorarius pomarinus
Great Skua,Stercorarius skua
South Polar Skua,Stercorarius maccormicki
Tufted Puffin,Fratercula cirrhata
Puffin,Fratercula arctica
Long-billed Murrelet,Brachyramphus perdix
Black Guillemot,Cepphus grylle
Razorbill,Alca torda
Great Auk,Pinguinus impennis
Little Auk,Alle alle
Brünnich's Guillemot,Uria lomvia
Common Guillemot,Uria aalge
Ancient Murrelet,Synthliboramphus antiquus
Red-billed Tropicbird,Phaethon aethereus
Red-throated Diver,Gavia stellata
Black-throated Diver,Gavia arctica
Pacific Diver,Gavia pacifica
Great Northern Diver,Gavia immer
White-billed Diver,Gavia adamsii
Wilson's Storm-petrel,Oceanites oceanicus
White-faced Storm-petrel,Pelagodroma marina
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
Black-browed Albatross,Thalassarche melanophris
European Storm-petrel,Hydrobates pelagicus
Swinhoe's Storm-petrel,Hydrobates monorhis
Leach's Storm-petrel,Hydrobates leucorhous
Band-rumped Storm-petrel,Hydrobates castro
Fulmar,Fulmarus glacialis
Soft-plumaged Petrel,Pterodroma mollis
Zino's Petrel,Pterodroma madeira
Black-capped Petrel,Pterodroma hasitata
White-chinned Petrel,Procellaria aequinoctialis
Cory's Shearwater,Calonectris borealis
Scopoli's Shearwater,Calonectris diomedea
Sooty Shearwater,Ardenna grisea
Great Shearwater,Ardenna gravis
Manx Shearwater,Puffinus puffinus
Yelkouan Shearwater,Puffinus yelkouan
Balearic Shearwater,Puffinus mauretanicus
Barolo Shearwater,Puffinus baroli
Black Stork,Ciconia nigra
White Stork,Ciconia ciconia
Ascension Frigatebird,Fregata aquila
Magnificent Frigatebird,Fregata magnificens
Gannet,Morus bassanus
Red-footed Booby,Sula sula
Brown Booby,Sula leucogaster
Cormorant,Phalacrocorax carbo
Shag,Gulosus aristotelis
Double-crested Cormorant,Nannopterum auritum
Glossy Ibis,Plegadis falcinellus
Spoonbill,Platalea leucorodia
Bittern,Botaurus stellaris
American Bittern,Botaurus lentiginosus
Least Bittern,Botaurus exilis
Little Bittern,Botaurus minutus
Night-heron,Nycticorax nycticorax
Snowy Egret,Egretta thula
Little Egret,Egretta garzetta
Green Heron,Butorides virescens
Squacco Heron,Ardeola ralloides
Chinese Pond Heron,Ardeola bacchus
Great White Egret,Ardea alba
Cattle Egret,Ardea ibis
Grey Heron,Ardea cinerea
Great Blue Heron,Ardea herodias
Purple Heron,Ardea purpurea
Dalmatian Pelican,Pelecanus crispus
Osprey,Pandion haliaetus
Black-winged Kite,Elanus caeruleus
Egyptian Vulture,Neophron percnopterus
Honey-buzzard,Pernis apivorus
Short-toed Eagle,Circaetus gallicus
Spotted Eagle,Clanga clanga
Golden Eagle,Aquila chrysaetos
Sparrowhawk,Accipiter nisus
Goshawk,Astur gentilis
Marsh Harrier,Circus aeruginosus
Hen Harrier,Circus cyaneus
Northern Harrier,Circus hudsonius
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
Red Kite,Milvus milvus
Black Kite,Milvus migrans
White-tailed Eagle,Haliaeetus albicilla
Rough-legged Buzzard,Buteo lagopus
Long-legged Buzzard,Buteo rufinus
Buzzard,Buteo buteo
Barn Owl,Tyto alba
Tengmalm's Owl,Aegolius funereus
Little Owl,Athene noctua
Hawk Owl,Surnia ulula
Scops Owl,Otus scops
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Snowy Owl,Bubo scandiacus
Tawny Owl,Strix aluco
Hoopoe,Upupa epops
Roller,Coracias garrulus
Kingfisher,Alcedo atthis
Belted Kingfisher,Megaceryle alcyon
Blue-cheeked Bee-eater,Merops persicus
Bee-eater,Merops apiaster
Wryneck,Jynx torquilla
Yellow-bellied Sapsucker,Sphyrapicus varius
Lesser Spotted Woodpecker,Dryobates minor
Great Spotted Woodpecker,Dendrocopos major
Green Woodpecker,Picus viridis
Lesser Kestrel,Falco naumanni
Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Eleonora's Falcon,Falco eleonorae
Merlin,Falco columbarius
Hobby,Falco subbuteo
Gyr Falcon,Falco rusticolus
Peregrine,Falco peregrinus
Ring-necked Parakeet,Psittacula krameri
Eastern Phoebe,Sayornis phoebe
Yellow-bellied Flycatcher,Empidonax flaviventris
Acadian Flycatcher,Empidonax virescens
Alder Flycatcher,Empidonax alnorum
Eastern Kingbird,Tyrannus tyrannus
Red-eyed Vireo,Vireo olivaceus
Philadelphia Vireo,Vireo philadelphicus
Yellow-throated Vireo,Vireo flavifrons
Golden Oriole,Oriolus oriolus
Great Grey Shrike,Lanius excubitor
Masked Shrike,Lanius nubicus
Lesser Grey Shrike,Lanius minor
Woodchat Shrike,Lanius senator
Daurian Shrike,Lanius isabellinus
Red-backed Shrike,Lanius collurio
Turkestan Shrike,Lanius phoenicuroides
Brown Shrike,Lanius cristatus
Long-tailed Shrike,Lanius schach
Jay,Garrulus glandarius
Magpie,Pica pica
Nutcracker,Nucifraga caryocatactes
Chough,Pyrrhocorax pyrrhocorax
Jackdaw,Coloeus monedula
Rook,Corvus frugilegus
Carrion Crow,Corvus corone
Hooded Crow,Corvus cornix
Raven,Corvus corax
Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Coal Tit,Periparus ater
Crested Tit,Lophophanes cristatus
Marsh Tit,Poecile palustris
Willow Tit,Poecile montanus
Blue Tit,Cyanistes caeruleus
Great Tit,Parus major
Penduline Tit,Remiz pendulinus
Bearded Tit,Panurus biarmicus
Woodlark,Lullula arborea
White-winged Lark,Alauda leucoptera
Skylark,Alauda arvensis
Crested Lark,Galerida cristata
Shore Lark,Eremophila alpestris
Short-toed Lark,Calandrella brachydactyla
Bimaculated Lark,Melanocorypha bimaculata
Calandra Lark,Melanocorypha calandra
Black Lark,Melanocorypha yeltoniensis
Sand Martin,Riparia riparia
Tree Swallow,Tachycineta bicolor
Purple Martin,Progne subis
Crag Martin,Ptyonoprogne rupestris
Swallow,Hirundo rustica
House Martin,Delichon urbicum
Red-rumped Swallow,Cecropis rufula
Eastern Red-rumped Swallow,Cecropis daurica
American Cliff Swallow,Petrochelidon pyrrhonota
Cetti's Warbler,Cettia cetti
Long-tailed Tit,Aegithalos caudatus
Wood Warbler,Phylloscopus sibilatrix
Western Bonelli's Warbler,Phylloscopus bonelli
Eastern Bonelli's Warbler,Phylloscopus orientalis
Hume's Warbler,Phylloscopus humei
Yellow-browed Warbler,Phylloscopus inornatus
Pallas's Warbler,Phylloscopus proregulus
Radde's Warbler,Phylloscopus schwarzi
Sulphur-bellied Warbler,Phylloscopus griseolus
Dusky Warbler,Phylloscopus fuscatus
Willow Warbler,Phylloscopus trochilus
Chiffchaff,Phylloscopus collybita
Iberian Chiffchaff,Phylloscopus ibericus
Eastern Crowned Warbler,Phylloscopus coronatus
Green Warbler,Phylloscopus nitidus
Two-barred Greenish Warbler,Phylloscopus plumbeitarsus
Greenish Warbler,Phylloscopus trochiloides
Pale-legged Leaf Warbler,Phylloscopus tenellipes
Arctic Warbler,Phylloscopus borealis
Great Reed Warbler,Acrocephalus arundinaceus
Aquatic Warbler,Acrocephalus paludicola
Sedge Warbler,Acrocephalus schoenobaenus
Paddyfield Warbler,Acrocephalus agricola
Blyth's Reed Warbler,Acrocephalus dumetorum
Reed Warbler,Acrocephalus scirpaceus
Marsh Warbler,Acrocephalus palustris
Thick-billed Warbler,Arundinax aedon
Booted Warbler,Iduna caligata
Sykes's Warbler,Iduna rama
Eastern Olivaceous Warbler,Iduna pallida
Western Olivaceous Warbler,Iduna opaca
Olive-tree Warbler,Hippolais olivetorum
Melodious Warbler,Hippolais polyglotta
Icterine Warbler,Hippolais icterina
Pallas's Grasshopper Warbler,Helopsaltes certhiola
Lanceolated Warbler,Locustella lanceolata
River Warbler,Locustella fluviatilis
Savi's Warbler,Locustella luscinioides
Grasshopper Warbler,Locustella naevia
Zitting Cisticola,Cisticola juncidis
Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Barred Warbler,Curruca nisoria
Lesser Whitethroat,Curruca curruca
Western Orphean Warbler,Curruca hortensis
Eastern Orphean Warbler,Curruca crassirostris
Asian Desert Warbler,Curruca nana
Rüppell's Warbler,Curruca ruppeli
Sardinian Warbler,Curruca melanocephala
Western Subalpine Warbler,Curruca iberiae
Moltoni's Warbler,Curruca subalpina
Eastern Subalpine Warbler,Curruca cantillans
Whitethroat,Curruca communis
Spectacled Warbler,Curruca conspicillata
Marmora's Warbler,Curruca sarda
Dartford Warbler,Curruca undata
Ruby-crowned Kinglet,Corthylio calendula
Firecrest,Regulus ignicapilla
Goldcrest,Regulus regulus
Wren,Troglodytes troglodytes
Red-breasted Nuthatch,Sitta canadensis
Nuthatch,Sitta europaea
Wallcreeper,Tichodroma muraria
Treecreeper,Certhia familiaris
Short-toed Treecreeper,Certhia brachydactyla
Grey Catbird,Dumetella carolinensis
Northern Mockingbird,Mimus polyglottos
Brown Thrasher,Toxostoma rufum
Rose-coloured Starling,Pastor roseus
Starling,Sturnus vulgaris
Varied Thrush,Ixoreus naevius
Wood Thrush,Hylocichla mustelina
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Grey-cheeked Thrush,Catharus minimus
Veery,Catharus fuscescens
White's Thrush,Zoothera aurea
Siberian Thrush,Geokichla sibirica
Song Thrush,Turdus philomelos
Mistle Thrush,Turdus viscivorus
Redwing,Turdus iliacus
Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Fieldfare,Turdus pilaris
Ring Ouzel,Turdus torquatus
Black-throated Thrush,Turdus atrogularis
Red-throated Thrush,Turdus ruficollis
Dusky Thrush,Turdus eunomus
Naumann's Thrush,Turdus naumanni
American Robin,Turdus migratorius
Rufous-tailed Scrub Robin,Cercotrichas galactotes
Asian Brown Flycatcher,Muscicapa dauurica
Spotted Flycatcher,Muscicapa striata
Robin,Erithacus rubecula
White-throated Robin,Irania gutturalis
Thrush Nightingale,Luscinia luscinia
Nightingale,Luscinia megarhynchos
Bluethroat,Luscinia svecica
Siberian Rubythroat,Calliope calliope
Siberian Blue Robin,Larvivora cyane
Rufous-tailed Robin,Larvivora sibilans
Red-breasted Flycatcher,Ficedula parva
Taiga Flycatcher,Ficedula albicilla
Pied Flycatcher,Ficedula hypoleuca
Collared Flycatcher,Ficedula albicollis
Red-flanked Bluetail,Tarsiger cyanurus
Black Redstart,Phoenicurus ochruros
Redstart,Phoenicurus phoenicurus
Moussier's Redstart,Phoenicurus moussieri
Rock Thrush,Monticola saxatilis
Blue Rock Thrush,Monticola solitarius
Whinchat,Saxicola rubetra
Amur Stonechat,Saxicola stejnegeri
Siberian Stonechat,Saxicola maurus
Stonechat,Saxicola rubicola
Wheatear,Oenanthe oenanthe
Isabelline Wheatear,Oenanthe isabellina
Desert Wheatear,Oenanthe deserti
Western Black-eared Wheatear,Oenanthe hispanica
Pied Wheatear,Oenanthe pleschanka
Eastern Black-eared Wheatear,Oenanthe melanoleuca
White-crowned Black Wheatear,Oenanthe leucopyga
Dipper,Cinclus cinclus
Rock Sparrow,Petronia petronia
Tree Sparrow,Passer montanus
Spanish Sparrow,Passer hispaniolensis
House Sparrow,Passer domesticus
Alpine Accentor,Prunella collaris
Siberian Accentor,Prunella montanella
Dunnock,Prunella modularis
Yellow Wagtail,Motacilla flava
Eastern Yellow Wagtail,Motacilla tschutschensis
Citrine Wagtail,Motacilla citreola
Grey Wagtail,Motacilla cinerea
Pied Wagtail,Motacilla alba
Richard's Pipit,Anthus richardi
Blyth's Pipit,Anthus godlewskii
Tawny Pipit,Anthus campestris
Meadow Pipit,Anthus pratensis
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Pechora Pipit,Anthus gustavi
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Water Pipit,Anthus spinoletta
Rock Pipit,Anthus petrosus
Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Evening Grosbeak,Hesperiphona vespertina
Hawfinch,Coccothraustes coccothraustes
Pine Grosbeak,Pinicola enucleator
Bullfinch,Pyrrhula pyrrhula
Trumpeter Finch,Bucanetes githagineus
Common Rosefinch,Carpodacus erythrinus
Greenfinch,Chloris chloris
Twite,Linaria flavirostris
Linnet,Linaria cannabina
Redpoll,Acanthis flammea
Parrot Crossbill,Loxia pytyopsittacus
Scottish Crossbill,Loxia scotica
Crossbill,Loxia curvirostra
Two-barred Crossbill,Loxia leucoptera
Goldfinch,Carduelis carduelis
Citril Finch,Carduelis citrinella
Serin,Serinus serinus
Siskin,Spinus spinus
Lapland Bunting,Calcarius lapponicus
Snow Bunting,Plectrophenax nivalis
Corn Bunting,Emberiza calandra
Yellowhammer,Emberiza citrinella
Pine Bunting,Emberiza leucocephalos
Rock Bunting,Emberiza cia
Ortolan Bunting,Emberiza hortulana
Cretzschmar's Bunting,Emberiza caesia
Cirl Bunting,Emberiza cirlus
Chestnut-eared Bunting,Emberiza fucata
Little Bunting,Emberiza pusilla
Yellow-browed Bunting,Emberiza chrysophrys
Rustic Bunting,Emberiza rustica
Yellow-breasted Bunting,Emberiza aureola
Chestnut Bunting,Emberiza rutila
Black-headed Bunting,Emberiza melanocephala
Red-headed Bunting,Emberiza bruniceps
Black-faced Bunting,Emberiza spodocephala
Pallas's Reed Bunting,Emberiza pallasi
Reed Bunting,Emberiza schoeniclus
Lark Sparrow,Chondestes grammacus
Dark-eyed Junco,Junco hyemalis
White-crowned Sparrow,Zonotrichia leucophrys
White-throated Sparrow,Zonotrichia albicollis
Savannah Sparrow,Passerculus sandwichensis
Song Sparrow,Melospiza melodia
Eastern Towhee,Pipilo erythrophthalmus
Bobolink,Dolichonyx oryzivorus
Baltimore Oriole,Icterus galbula
Red-winged Blackbird,Agelaius phoeniceus
Brown-headed Cowbird,Molothrus ater
Ovenbird,Seiurus aurocapilla
Northern Waterthrush,Parkesia noveboracensis
Golden-winged Warbler,Vermivora chrysoptera
Black-and-white Warbler,Mniotilta varia
Tennessee Warbler,Leiothlypis peregrina
Common Yellowthroat,Geothlypis trichas
Hooded Warbler,Setophaga citrina
American Redstart,Setophaga ruticilla
Cape May Warbler,Setophaga tigrina
Northern Parula,Setophaga americana
Magnolia Warbler,Setophaga magnolia
Bay-breasted Warbler,Setophaga castanea
Blackburnian Warbler,Setophaga fusca
Yellow Warbler,Setophaga aestiva
Chestnut-sided Warbler,Setophaga pensylvanica
Blackpoll Warbler,Setophaga striata
Yellow-rumped Warbler,Setophaga coronata
Canada Warbler,Cardellina canadensis
Wilson's Warbler,Cardellina pusilla
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Rose-breasted Grosbeak,Pheucticus ludovicianus
Indigo Bunting,Passerina cyanea
siren,Siren
dog barking,Dog
engine,Engine
Jackdaw,Corvus monedula
human talking,Human vocal
